date_de_debut;date_de_fin;fk_oeuvre;fk_realisateur_ice;id_periode
2016-06-10;2016-06-10;405;617;619
2016-06-10;2016-06-10;427;273;620
2016-06-10;2016-06-10;557;718;621
2016-06-13;2016-06-13;538;241;622
2016-06-13;2016-06-13;753;549;623
2016-06-13;2016-06-14;405;617;624
2016-06-14;2016-06-14;538;241;625
2016-06-15;2016-06-15;229;268;626
2016-06-15;2016-06-15;405;617;627
2016-06-15;2016-06-15;834;700;628
2016-06-15;2016-06-17;427;273;629
2016-06-16;2016-06-16;221;133;630
2016-06-16;2016-06-16;405;617;631
2016-06-16;2016-06-16;834;700;632
2016-06-16;2016-06-16;850;330;633
2016-06-16;2016-06-17;834;700;634
2016-06-17;2016-06-17;405;617;635
2016-06-17;2016-06-17;834;700;636
2016-06-18;2016-06-18;850;330;637
2016-06-20;2016-06-20;229;268;638
2016-06-20;2016-06-20;427;273;639
2016-06-20;2016-06-20;732;173;640
2016-06-20;2016-06-23;221;133;641
2016-06-21;2016-06-21;127;60;642
2016-06-21;2016-06-21;732;173;643
2016-06-21;2016-06-24;427;273;644
2016-06-22;2016-06-22;127;60;645
2016-06-22;2016-06-22;405;617;646
2016-06-22;2016-06-23;732;173;647
2016-06-22;2016-06-24;459;130;648
2016-06-23;2016-06-23;405;617;649
2016-06-24;2016-06-24;221;133;650
2016-06-24;2016-06-24;732;173;651
2016-06-27;2016-06-27;351;591;652
2016-06-27;2016-06-27;405;617;653
2016-06-27;2016-06-27;503;188;654
2016-06-27;2016-06-27;732;173;655
2016-06-27;2016-07-02;459;130;656
2016-06-28;2016-06-28;82;3;657
2016-06-28;2016-06-28;229;268;658
2016-06-28;2016-06-28;332;601;659
2016-06-28;2016-06-28;405;617;660
2016-06-28;2016-06-28;444;177;661
2016-06-28;2016-07-02;221;133;662
2016-06-29;2016-06-29;405;617;663
2016-06-29;2016-06-29;444;177;664
2016-06-30;2016-06-30;405;617;665
2016-07-01;2016-07-01;127;60;666
2016-07-01;2016-07-01;351;591;667
2016-07-02;2016-07-02;5;632;668
2016-07-02;2016-07-02;127;60;669
2016-07-03;2016-07-03;803;644;670
2016-07-04;2016-07-04;351;591;671
2016-07-04;2016-07-04;358;105;672
2016-07-04;2016-07-08;405;617;673
2016-07-05;2016-07-05;221;133;674
2016-07-05;2016-07-05;459;130;675
2016-07-05;2016-07-05;732;173;676
2016-07-05;2016-07-05;803;644;677
2016-07-05;2016-07-06;732;173;678
2016-07-05;2016-07-07;221;133;679
2016-07-06;2016-07-06;221;133;680
2016-07-06;2016-07-06;351;591;681
2016-07-06;2016-07-06;459;130;682
2016-07-06;2016-07-06;753;549;683
2016-07-07;2016-07-07;221;133;684
2016-07-07;2016-07-07;351;591;685
2016-07-07;2016-07-07;732;173;686
2016-07-08;2016-07-08;337;745;687
2016-07-08;2016-07-08;427;273;688
