date_de_debut;date_de_fin;fk_oeuvre;realisateur_ice;id_periode
2016-04-26;2016-04-29;594;lea mazer;463
2016-04-27;2016-04-27;82;aditya chopra;464
2016-04-27;2016-04-27;189;novemie lvovsky;465
2016-04-27;2016-04-27;205;etienne comar;466
2016-04-27;2016-04-27;408;chad chenouga;467
2016-04-27;2016-04-27;557;valerie lemercier;468
2016-04-28;2016-04-28;82;aditya chopra;469
2016-04-28;2016-04-28;205;etienne comar;470
2016-04-28;2016-04-28;408;chad chenouga;471
2016-04-28;2016-04-28;526;nadir mokneche;472
2016-04-28;2016-04-28;547;jean luc bertrand;473
2016-04-28;2016-04-28;557;valerie lemercier;474
2016-04-28;2016-04-28;594;lea mazer;475
2016-04-28;2016-04-29;35;philippe lacheau;476
2016-04-28;2016-04-29;547;jean luc bertrand;477
2016-04-29;2016-04-29;82;aditya chopra;478
2016-04-29;2016-04-29;408;chad chenouga;479
2016-04-29;2016-04-29;547;jean luc bertrand;480
2016-04-29;2016-04-29;557;valerie lemercier;481
2016-04-30;2016-04-30;82;aditya chopra;482
2016-05-02;2016-05-02;82;aditya chopra;483
2016-05-02;2016-05-02;128;sou abadi;484
2016-05-02;2016-05-02;189;novemie lvovsky;485
2016-05-02;2016-05-02;258;erick zonca;486
2016-05-02;2016-05-02;594;lea mazer;487
2016-05-02;2016-05-02;653;melanie laurent;488
2016-05-02;2016-05-02;803;samba mballo;489
2016-05-02;2016-05-03;408;chad chenouga;490
2016-05-02;2016-05-03;853;shaun severi;491
2016-05-02;2016-05-04;127;arnaud malherbe;492
2016-05-02;2016-05-05;128;sou abadi;493
2016-05-03;2016-05-03;82;aditya chopra;494
2016-05-03;2016-05-03;258;erick zonca;495
2016-05-03;2016-05-03;557;valerie lemercier;496
2016-05-03;2016-05-03;594;lea mazer;497
2016-05-03;2016-05-03;653;melanie laurent;498
2016-05-04;2016-05-04;35;philippe lacheau;499
2016-05-04;2016-05-04;189;novemie lvovsky;500
2016-05-04;2016-05-04;258;erick zonca;501
2016-05-04;2016-05-04;418;martin provost;502
2016-05-04;2016-05-04;653;melanie laurent;503
2016-05-04;2016-05-05;557;valerie lemercier;504
2016-05-05;2016-05-05;1;sophie levy;505
2016-05-05;2016-05-05;82;aditya chopra;506
2016-05-05;2016-05-06;229;frederic jardin;507
2016-05-06;2016-05-06;1;sophie levy;508
2016-05-06;2016-05-06;381;laurent perreau;509
2016-05-06;2016-05-07;557;valerie lemercier;510
2016-05-07;2016-05-07;1;sophie levy;511
2016-05-08;2016-05-09;82;aditya chopra;512
2016-05-09;2016-05-09;128;sou abadi;513
2016-05-09;2016-05-09;189;novemie lvovsky;514
2016-05-09;2016-05-09;259;stephane robelin;515
2016-05-09;2016-05-09;381;laurent perreau;516
2016-05-09;2016-05-10;35;philippe lacheau;517
2016-05-09;2016-05-10;82;aditya chopra;518
2016-05-09;2016-05-13;189;novemie lvovsky;519
2016-05-10;2016-05-10;128;sou abadi;520
2016-05-10;2016-05-10;259;stephane robelin;521
2016-05-10;2016-05-10;381;laurent perreau;522
2016-05-10;2016-05-10;557;valerie lemercier;523
2016-05-11;2016-05-11;82;aditya chopra;524
2016-05-11;2016-05-11;128;sou abadi;525
2016-05-11;2016-05-11;259;stephane robelin;526
2016-05-11;2016-05-11;381;laurent perreau;527
2016-05-11;2016-05-11;557;valerie lemercier;528
2016-05-12;2016-05-12;82;aditya chopra;529
2016-05-12;2016-05-12;128;sou abadi;530
2016-05-12;2016-05-12;259;stephane robelin;531
2016-05-12;2016-05-12;381;laurent perreau;532
2016-05-12;2016-05-13;82;aditya chopra;533
2016-05-13;2016-05-13;128;sou abadi;534
2016-05-13;2016-05-13;259;stephane robelin;535
2016-05-13;2016-05-13;381;laurent perreau;536
2016-05-13;2016-05-13;588;gabriel laferriere;537
2016-05-13;2016-05-14;82;aditya chopra;538
2016-05-16;2016-05-16;332;denis thybaud;539
2016-05-16;2016-05-16;588;gabriel laferriere;540
2016-05-16;2016-05-17;82;aditya chopra;541
2016-05-16;2016-05-20;189;novemie lvovsky;542
2016-05-17;2016-05-17;82;aditya chopra;543
2016-05-17;2016-05-18;82;aditya chopra;544
2016-05-17;2016-05-18;588;gabriel laferriere;545
